entry,name,body_size,called_functions,callers
"0x8001d6cc","FUN_8001d6cc","3884","FUN_8001d5b4;FUN_8001d640;FUN_8001ebc8;FUN_80024f2c;FUN_80027fac;FUN_80033dac;FUN_80034f9c;FUN_80037b48;FUN_800383d0;FUN_80039690;FUN_80041da4;FUN_8004ac9c;FUN_8004ff20;FUN_80051a10;FUN_80056044;FUN_8005f6d0;FUN_8006038c;FUN_8006101c;FUN_80061064;FUN_80062190;FUN_800622c8;FUN_8006a1fc;FUN_800796bc;FUN_80079c1c;FUN_8007a998;FUN_8007acb8;FUN_8007eecc;FUN_80084d6c;FUN_800892f0;FUN_8008959c;FUN_800897b0;FUN_800899bc;FUN_80089b84;FUN_80089d0c;FUN_80089e6c;FUN_8008a18c;FUN_8008a3cc;FUN_8008a55c;FUN_8008d20c;FUN_8008d230;FUN_8008eed8;FUN_8008fb90;FUN_8009013c","FUN_80010264;FUN_800105c4;FUN_80010a84"
"0x8001e5f8","FUN_8001e5f8","336","FUN_8007a998","FUN_8001fc20;FUN_80054f6c;FUN_8005c9e8"
"0x8001e748","FUN_8001e748","712","FUN_8007a810;FUN_8007a8bc;FUN_8007ac14","FUN_80024730;FUN_80024898;FUN_8004ac9c;FUN_8004cde4;FUN_8004d954;FUN_8005aee8;FUN_80084d6c;FUN_8008db08;FUN_8008e0f8"
"0x8001ea10","FUN_8001ea10","440","","FUN_8001ec10"
"0x8001ebc8","FUN_8001ebc8","72","FUN_8001ec10","FUN_800142d8;FUN_8001d6cc;FUN_8001fe70;FUN_800250e4;FUN_800313a4;FUN_80031460;FUN_8003bc04;FUN_800433e0;FUN_8004c418;FUN_8004dae8;FUN_80054f6c;FUN_80056648;FUN_8005b284"
"0x8001ec10","FUN_8001ec10","932","FUN_8001ea10;FUN_8001f9e8;FUN_8005b1f4","FUN_8001ebc8"
"0x8001f9e8","FUN_8001f9e8","356","FUN_8001fb4c;FUN_8001fc20;FUN_8005f6ac","FUN_8001ec10;FUN_8002e348;FUN_8002f610;FUN_80030588;FUN_800321f0;FUN_800324c4;FUN_80051468;FUN_80054f6c;FUN_8005a638"
"0x8001fb4c","FUN_8001fb4c","212","FUN_80041da4","FUN_8001f9e8"
"0x8001fc20","FUN_8001fc20","200","FUN_8001e5f8","FUN_8001f9e8"
"0x8001fce8","FUN_8001fce8","64","FUN_8001fd28",""
"0x8001fd28","FUN_8001fd28","172","FUN_8005e08c","FUN_8001fce8"
"0x8001fdd4","FUN_8001fdd4","156","FUN_8004326c;FUN_8007996c","FUN_8001fe70"
"0x8001fe70","FUN_8001fe70","2944","FUN_8001ebc8;FUN_8001fdd4;FUN_800209f0;FUN_80036f3c;FUN_80042440;FUN_80048b44;FUN_8004f214;FUN_800563ec;FUN_80058df8;FUN_8005f6d0;FUN_8006101c;FUN_80079a84;FUN_8007a998;FUN_8007acb8;FUN_8007b4a4;FUN_8007bd68;FUN_8008d6c0;FUN_8008f178;FUN_80091e68;FUN_800937c4","FUN_80028f60;FUN_8004878c"
"0x800209f0","FUN_800209f0","456","FUN_80036f3c;FUN_8009047c;FUN_800937c4","FUN_8001fe70;FUN_800433e0;FUN_800436a0;FUN_80058b14;FUN_80058df8;FUN_8005cd38"
"0x80020bb8","FUN_80020bb8","324","FUN_8007a998","FUN_80021078"
"0x80020d54","FUN_80020d54","584","FUN_800422ec;FUN_8004e324;FUN_8007e64c",""
"0x80020f9c","FUN_80020f9c","16","","FUN_80010a84"
"0x80020fac","FUN_80020fac","76","","FUN_80021078;FUN_8002dab8;FUN_80032190;FUN_800324c4"
"0x80020ff8","FUN_80020ff8","72","","FUN_80030a34;FUN_80031dc8;FUN_80032bb4;FUN_80040304"
"0x80021040","FUN_80021040","56","","FUN_80010a84;FUN_80021078;FUN_80052984"
"0x80021078","FUN_80021078","1892","FUN_80020bb8;FUN_80020fac;FUN_80021040;FUN_800217dc;FUN_80021840;FUN_80032d9c;FUN_80040cc0;FUN_80040dd0",""
"0x800217dc","FUN_800217dc","100","","FUN_80021078"
"0x80021840","FUN_80021840","120","","FUN_80021078"
"0x800218b8","FUN_800218b8","340","","FUN_800228f0"
"0x80021abc","FUN_80021abc","156","FUN_8004e370",""
"0x80021b58","FUN_80021b58","1168","FUN_80079a84",""
"0x80021fe8","FUN_80021fe8","600","","FUN_80022240"
"0x80022240","FUN_80022240","192","FUN_80021fe8","FUN_80022d18"
"0x80022300","FUN_80022300","208","FUN_8005f6d0","FUN_800225a4;FUN_800228f0"
"0x800223d0","FUN_800223d0","224","","FUN_800228f0"
"0x800224b0","FUN_800224b0","244","","FUN_800225a4;FUN_800228f0"
"0x800225a4","FUN_800225a4","844","FUN_80022300;FUN_800224b0;FUN_8005f6d0",""
"0x800228f0","FUN_800228f0","1064","FUN_800218b8;FUN_80022300;FUN_800223d0;FUN_800224b0;FUN_80022d18;FUN_8005f6d0;FUN_8008790c",""
